"Country Name","Year","GDP_per_capita","region","sub-region","Population","Group","Life_Expectancy_at_Birth"
"Afghanistan","2019",507.1034319,"Asia","Southern Asia",38041754,"Male_Life_Expectancy",63.3
"Afghanistan","2019",507.1034319,"Asia","Southern Asia",38041754,"Female_Life_Expectancy",63.2
"Afghanistan","2015",578.4663529,"Asia","Southern Asia",34413603,"Male_Life_Expectancy",61
"Afghanistan","2015",578.4663529,"Asia","Southern Asia",34413603,"Female_Life_Expectancy",62.3
"Afghanistan","2010",543.3030419,"Asia","Southern Asia",29185507,"Male_Life_Expectancy",59.6
"Afghanistan","2010",543.3030419,"Asia","Southern Asia",29185507,"Female_Life_Expectancy",60.3
"Albania","2019",5353.244856,"Europe","Southern Europe",2854191,"Male_Life_Expectancy",76.3
"Albania","2019",5353.244856,"Europe","Southern Europe",2854191,"Female_Life_Expectancy",79.9
"Albania","2015",3952.801215,"Europe","Southern Europe",2880703,"Male_Life_Expectancy",76.1
"Albania","2015",3952.801215,"Europe","Southern Europe",2880703,"Female_Life_Expectancy",79.7
"Albania","2010",4094.350334,"Europe","Southern Europe",2913021,"Male_Life_Expectancy",74.2
"Albania","2010",4094.350334,"Europe","Southern Europe",2913021,"Female_Life_Expectancy",78.3
"Albania","2000",1126.683318,"Europe","Southern Europe",3089027,"Male_Life_Expectancy",70.7
"Albania","2000",1126.683318,"Europe","Southern Europe",3089027,"Female_Life_Expectancy",76.9
"Algeria","2019",3973.964072,"Africa","Northern Africa",43053054,"Male_Life_Expectancy",76.2
"Algeria","2019",3973.964072,"Africa","Northern Africa",43053054,"Female_Life_Expectancy",78.1
"Algeria","2015",4187.509727,"Africa","Northern Africa",39728025,"Male_Life_Expectancy",75.6
"Algeria","2015",4187.509727,"Africa","Northern Africa",39728025,"Female_Life_Expectancy",77.5
"Algeria","2010",4479.34172,"Africa","Northern Africa",35977455,"Male_Life_Expectancy",75
"Algeria","2010",4479.34172,"Africa","Northern Africa",35977455,"Female_Life_Expectancy",76.8
"Algeria","2000",1765.022198,"Africa","Northern Africa",31042235,"Male_Life_Expectancy",70.9
"Algeria","2000",1765.022198,"Africa","Northern Africa",31042235,"Female_Life_Expectancy",73.5
"Angola","2019",2790.726615,"Africa","Sub-Saharan Africa",31825295,"Male_Life_Expectancy",60.7
"Angola","2019",2790.726615,"Africa","Sub-Saharan Africa",31825295,"Female_Life_Expectancy",65.5
"Angola","2015",4166.979684,"Africa","Sub-Saharan Africa",27884381,"Male_Life_Expectancy",59.1
"Angola","2015",4166.979684,"Africa","Sub-Saharan Africa",27884381,"Female_Life_Expectancy",64.5
"Angola","2010",3587.883798,"Africa","Sub-Saharan Africa",23356246,"Male_Life_Expectancy",55.8
"Angola","2010",3587.883798,"Africa","Sub-Saharan Africa",23356246,"Female_Life_Expectancy",60.5
"Angola","2000",556.8363181,"Africa","Sub-Saharan Africa",16395473,"Male_Life_Expectancy",46.8
"Angola","2000",556.8363181,"Africa","Sub-Saharan Africa",16395473,"Female_Life_Expectancy",52.1
"Antigua and Barbuda","2019",17112.82113,"Americas","Latin America and the Caribbean",97118,"Male_Life_Expectancy",74.9
"Antigua and Barbuda","2019",17112.82113,"Americas","Latin America and the Caribbean",97118,"Female_Life_Expectancy",78
"Antigua and Barbuda","2015",14286.09316,"Americas","Latin America and the Caribbean",93566,"Male_Life_Expectancy",74.4
"Antigua and Barbuda","2015",14286.09316,"Americas","Latin America and the Caribbean",93566,"Female_Life_Expectancy",77.8
"Antigua and Barbuda","2010",13049.25705,"Americas","Latin America and the Caribbean",88028,"Male_Life_Expectancy",73.6
"Antigua and Barbuda","2010",13049.25705,"Americas","Latin America and the Caribbean",88028,"Female_Life_Expectancy",78.2
"Antigua and Barbuda","2000",10871.00571,"Americas","Latin America and the Caribbean",76016,"Male_Life_Expectancy",72
"Antigua and Barbuda","2000",10871.00571,"Americas","Latin America and the Caribbean",76016,"Female_Life_Expectancy",77
"Argentina","2019",9912.281809,"Americas","Latin America and the Caribbean",44938712,"Male_Life_Expectancy",73.5
"Argentina","2019",9912.281809,"Americas","Latin America and the Caribbean",44938712,"Female_Life_Expectancy",79.5
"Argentina","2015",13789.06042,"Americas","Latin America and the Caribbean",43131966,"Male_Life_Expectancy",72.9
"Argentina","2015",13789.06042,"Americas","Latin America and the Caribbean",43131966,"Female_Life_Expectancy",79.3
"Argentina","2010",10385.96443,"Americas","Latin America and the Caribbean",40788453,"Male_Life_Expectancy",72.1
"Argentina","2010",10385.96443,"Americas","Latin America and the Caribbean",40788453,"Female_Life_Expectancy",78.6
"Argentina","2000",7708.100996,"Americas","Latin America and the Caribbean",36870787,"Male_Life_Expectancy",70.3
"Argentina","2000",7708.100996,"Americas","Latin America and the Caribbean",36870787,"Female_Life_Expectancy",77.8
"Armenia","2019",4622.733493,"Asia","Western Asia",2957731,"Male_Life_Expectancy",72.5
"Armenia","2019",4622.733493,"Asia","Western Asia",2957731,"Female_Life_Expectancy",79.2
"Armenia","2015",3607.296697,"Asia","Western Asia",2925553,"Male_Life_Expectancy",70.9
"Armenia","2015",3607.296697,"Asia","Western Asia",2925553,"Female_Life_Expectancy",77.8
"Armenia","2010",3218.372707,"Asia","Western Asia",2877319,"Male_Life_Expectancy",69.4
"Armenia","2010",3218.372707,"Asia","Western Asia",2877319,"Female_Life_Expectancy",76.6
"Armenia","2000",622.7421391,"Asia","Western Asia",3069591,"Male_Life_Expectancy",68.6
"Armenia","2000",622.7421391,"Asia","Western Asia",3069591,"Female_Life_Expectancy",74.9
"Australia","2019",55060.3261,"Oceania","Australia and New Zealand",25364307,"Male_Life_Expectancy",81.3
"Australia","2019",55060.3261,"Oceania","Australia and New Zealand",25364307,"Female_Life_Expectancy",84.8
"Australia","2015",56755.72171,"Oceania","Australia and New Zealand",23815995,"Male_Life_Expectancy",80.4
